Distance_Miles,AVG_Pace,Date,Time,AVG_Speed,Duration,Calories,Fastest_Mile,Slowest_Mile
10.08,9:34,8/10/2020,2:05:00,6.3,1:36:34,1307,7:47,12:17
5.56,10:11,8/12/2020,2:51:00,5.9,0:56:36,688,8:03,12:41
6.17,9:40,8/16/2020,7:31:00,6.2,0:59:41,735,7:47,13:12
5.33,9:28,8/17/2020,2:31:00,6.3,0:50:32,692,8:48,11:31
6.92,10:55,8/18/2020,3:20:00,5.5,1:15:36,912,8:36,14:55
7.53,10:43,8/20/2020,3:32:00,5.6,1:20:46,992,9:19,14:12
5.41,,8/21/2020,,,0:53:05,,,
4.68,,8/22/2020,,,0:54:01,,,
12.21,,8/23/2020,,,2:15:16,,,
5.95,,8/25/2020,,,0:58:17,,,
4.03,,8/27/2020,,,0:34:45,,,
4.01,,8/29/2020,,,0:36:46,,,
16.47,,8/30/2020,,,2:43:11,,,
4.85,,9/1/2020,,,0:41:58,,,
18.24,,9/6/2020,,,2:52:38,,,
9.16,,9/6/2020,,,1:30:48,,,
3.95,,9/11/2020,,,0:42:25,,,
14.6,,9/12/2020,,,2:29:06,,,
6.09,,9/15/2020,,,0:53:36,,,
18.33,,9/20/2020,,,3:01:31,,,
7.52,,9/23/2020,,,1:08:08,,,
16.78,,9/28/2020,,,2:56:31,,,
7.3,,10/1/2020,,,1:09:07,,,
12.07,,10/4/2020,,,1:46:09,,,
5.26,,10-7-20,,,0:45:26,,,
20.88,,10-11-20,,,3:35:13,,,
6.06,,10-13-20,,,1:01:44,,,
7.56,,10-15-20,,,1:10:35,,,
9.69,,10-18-20,,,1:40:51,,,
3.89,,10-20-20,,,0:34:09,,,
8.12,,10/23/2020,,,1:19:21,,,
12.15,,10/26/2020,,,1:43:01,,,
7.43,,10/29/2020,,,1:30:19,,,
7.42,,11/4/2020,,,1:04:56,,,
13.95,,11/9/2020,,,2:16:22,,,
5.36,,11/11/2020,,,0:48:33,,,
10.07,,11/18/2020,,,1:34:30,,,
3.38,,11/20/2020,,,0:30:31,,,
5.36,,12/9/2020,,,0:48:39,,,
3.85,,12/10/2020,,,0:37:33,,,
12.06,,12/13/2020,,,2:01:17,,,
7.42,,12/15/2020,,,1:10:21,,,
3.76,,12/16/2020,,,0:34:40,,,
5.89,,12/29/2020,,,0:54:21,,,
5.35,,12/31/2020,,,0:47:57,,,
9.06,,1/4/2021,,,1:18:59,,,
5.84,,1/5/2021,,,0:53:25,,,
3.74,,1/7/2021,,,0:33:14,,,
5.39,,1/13/2021,,,0:48:02,,,
6.75,,1/17/2021,,,1:10:06,,,
3.81,,1/21/2021,,,0:35:20,,,
5.46,,1/22/2021,,,0:46:46,,,
5.24,,1/24/2021,,,0:46:50,,,
3.82,,1/31/2021,,,0:33:00,,,
5.36,,2/6/2021,,,0:45:03,,,
10.07,,2/8/2021,,,1:25:35,,,
10.07,,2/12/2021,,,1:30:16,,,
5.37,,2/14/2021,,,0:45:40,,,
12.2,,2/21/2021,,,1:47:06,,,
12.07,,2/25/2021,,,1:53:34,,,
5.43,,2/28/2021,,,0:50:37,,,
10.05,,3/4/2021,,,1:43:23,,,
8.72,,3/7/2021,,,1:24:54,,,
8.7,,3/14/2021,,,1:22:34,,,
10.11,,3/28/2021,,,1:37:55,,,
10.38,,4/9/2021,,,1:44:45,,,
12.27,,4/16/2021,,,2:26:35,,,
10.18,,4/22/2021,,,1:43:48,,,
8.65,,4/25/2021,,,1:23:17,,,
8.75,,5/2/2021,,,1:24:40,,,
4.87,,5/11/2021,,,0:42:52,,,
1.17,,5/14/2021,,,0:11:29,,,
5.75,,5/14/2021,,,0:55:14,,,
1.22,,5/15/2021,,,0:11:54,,,
5.67,,5/15/2021,,,0:56:10,,,
10.16,,5/19/2021,,,1:41:02,,,
8.72,,5/23/2021,,,1:29:41,,,
6.09,,5/28/2021,,,1:02:35,,,
5.38,,6/1/2021,,,0:53:20,,,
8.13,,6/5/2021,,,1:16:04,,,
4.92,,6/6/2021,,,0:46:23,,,
4.85,,6/7/2021,,,0:48:52,,,
5.35,,6/12/2021,,,0:51:08,,,
5.37,,6/13/2021,,,0:55:59,,,
7.07,,6/16/2021,,,0:47:40,,,
3.88,,6/22/2021,,,0:34:21,,,
8.21,,7/4/2021,,,1:24:18,,,
3.12,,7/11/2021,,,0:35:51,,,
4.51,,8/3/2021,,,1:17:30,,,
5.67,,8/14/2021,,,1:02:36,,,
3.23,,8/16/2021,,,0:32:42,,,
2.95,,8/19/2021,,,0:27:48,,,
2.81,,8/21/2021,,,0:25:44,,,
3.26,,8/22/2021,,,0:33:09,,,
5.83,,8/25/2021,,,1:33:33,,,
5.6,,8/27/2021,,,0:58:47,,,
3.25,,8/29/2021,,,0:33:02,,,
3.25,,9/5/2021,,,0:31:10,,,
5.62,,9/6/2021,,,1:14:27,,,
6.03,,9/8/2021,,,1:02:46,,,
5.71,,9/10/2021,,,0:55:10,,,
6.53,,9/14/2021,,,0:57:06,,,
2.92,,9/16/2021,,,0:42:18,,,
4.03,,9/18/2021,,,0:42:15,,,
4.11,,9/19/2021,,,0:42:11,,,
4.07,,9/20/2021,,,0:40:49,,,
5.67,,9/25/2021,,,0:54:25,,,
3.64,,9/26/2021,,,0:35:25,,,
10.09,,10/6/2021,,,1:42:29,,,
3.49,,10/11/2021,,,0:41:36,,,
0.1,,10/14/2021,,,0:02:09,,,
5.15,,10/14/2021,,,1:05:44,,,
3.01,,10/25/2021,,,0:30:25,,,
4.64,,10/27/2021,,,0:45:11,,,
3.72,,11/1/2021,,,0:36:05,,,
4.3,,11/6/2021,,,0:42:16,,,
3.73,,11/7/2021,,,0:36:38,,,
10.12,,11/10/2021,,,1:32:35,,,
6.11,,11/12/2021,,,1:13:19,,,
4,,11/13/2021,,,0:37:28,,,
5.1,,11/17/2021,,,0:59:18,,,
3.75,,11/20/2021,,,0:42:25,,,
2.36,,11/22/2021,,,0:23:14,,,
4.66,,11/28/2021,,,0:52:21,,,
3.91,,12/11/2021,,,0:38:18,,,
5.58,,12/22/2021,,,0:53:21,,,
5.88,,12/26/2021,,,1:04:45,,,
6.27,,12/28/2021,,,1:05:52,,,
6.27,,12/29/2021,,,1:05:20,,,
5.66,,1/1/2022,,,0:55:57,,,
5.58,,1/5/2022,,,1:01:17,,,
2.78,,1/11/2022,,,0:27:05,,,
3.52,,1/14/2022,,,0:35:42,,,
5.57,,1/15/2011,,,0:56:54,,,
5.33,,1/21/2022,,,0:56:22,,,
5.53,,1/26/2022,,,0:55:03,,,
5.64,,2/1/2022,,,0:53:29,,,
6.06,,2/4/2022,,,1:12:36,,,
5.99,,2/16/2022,,,1:07:16,,,
10.2,,2/18/2022,,,1:47:20,,,
3.95,,2/19/2022,,,0:39:48,,,
3.26,,2/22/2022,,,0:36:48,,,
2.38,,2/27/2022,,,0:24:23,,,
8.58,,3/2/2022,,,1:36:07,,,
6.11,,3/4/2022,,,1:02:30,,,
8.64,,3/9/2022,,,1:36:15,,,
2.35,,3/12/2022,,,0:23:08,,,
14.23,,3/17/2022,,,2:37:33,,,
4,,3/19/2022,,,0:39:08,,,
8.8,,3/22/2022,,,1:38:30,,,
9.03,,3/24/2022,,,1:40:23,,,
8.49,,3/29/2022,,,1:33:46,,,
8.61,,3/30/2022,,,1:38:46,,,
14.17,,4/1/2022,,,2:50:23,,,
12.55,,4/7/2022,,,2:35:23,,,
9.08,,4/13/2022,,,1:40:31,,,
11.49,,4/15/2022,,,2:41:11,,,
3.99,,4/16/2022,,,0:42:46,,,
9.03,,4/19/2022,,,1:39:56,,,
11.83,,4/21/2022,,,1:50:08,,,
8.48,,4/26/2022,,,1:30:15,,,
8.51,,4/28/2022,,,1:38:31,,,
4.74,,4/30/2022,,,0:50:37,,,
8.63,,5/4/2022,,,1:42:05,,,
3.99,,5/7/2022,,,0:40:15,,,
5.96,,5/10/2022,,,1:02:19,,,
4.49,,5/14/2022,,,0:47:04,,,
4.78,,5/15/2022,,,0:53:43,,,
11.72,,5/19/2022,,,2:19:37,,,
5.89,,5/24/2022,,,1:04:16,,,
6.7,,5/28/2022,,,1:18:58,,,
6.2,,5/31/2022,,,1:04:53,,,
3.68,,6/6/2022,,,0:39:10,,,
8.7,,6/14/2022,,,1:57:09,,,
3.7,,6/18/2022,,,0:37:58,,,
3.49,,6/20/2022,,,0:38:36,,,
3.79,,6/25/2022,,,0:41:10,,,
4.8,,6/26/2022,,,0:50:23,,,
6.05,,6/28/2022,,,1:01:21,,,
5.9,,6/30/2022,,,1:05:55,,,
5.67,,7/1/2022,,,1:18:38,,,
3.97,,7/2/2022,,,0:47:16,,,
3.95,,7/3/2022,,,0:54:35,,,
6.28,,7/7/2022,,,1:23:34,,,
4.74,,7/9/2022,,,0:48:54,,,
3.93,,7/15/2022,,,0:39:18,,,
5.46,,7/16/2022,,,0:58:01,,,
2.36,,7/17/2022,,,0:23:19,,,
6,,7/21/2022,,,1:11:55,,,
3.03,,7/22/2022,,,0:31:32,,,
3.28,,7/23/2022,,,0:37:18,,,
5.75,,7/27/2022,,,1:03:51,,,
8.52,,8/2/2022,,,1:46:23,,,
5.89,,8-9-22,,,1:02:10,,,
4.76,,8/10/2022,,,0:52:48,,,
6.1,,8/11/2022,,,1:15:57,,,
4.77,,8/13/2022,,,0:51:39,,,
9.04,,9/1/2022,,,1:55:36,,,
5.9,,9/2/2022,,,1:16:14,,,
8.69,,9/6/2022,,,1:48:16,,,
5.81,,9/8/2022,,,1:06:09,,,
5.8,,9/9/2022,,,1:06:45,,,
10.6,,9/12/2022,,,2:10:38,,,
8.19,,9/13/2022,,,1:28,,,
7.78,,9/15/2022,,,1:34:28,,,
3.57,,9/20/2022,,,0:41:34,,,
4.66,,9/25/2022,,,0:46:53,,,
8.35,,9/26/2022,,,1:38:18,,,
8.47,,10/3/2022,,,1:37:00,,,
3.43,,10/4/2022,,,0:38:58,,,
10.19,,10/5/2022,,,1:56:36,,,
5.3,,10/12/2022,,,0:56:11,,,
9.02,,10/13/2022,,,1:46:40,,,
6.77,,10/14/2022,,,1:16:08,,,
10.43,,10/20/2022,,,1:50:56,,,
8.33,12:23,10/24/2022,16:46,4.8,1:43:17,1412,9:56,18:43